id,custom_label_0,custom_label_1,excluded_destination
6/0 28,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Чорний,100-200,online_only,"Free_local_listings,Local_inventory_ads"
216981,100-200,online_only,"Free_local_listings,Local_inventory_ads"
28134,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Каменний,50-100,online_only,"Free_local_listings,Local_inventory_ads"
28063,100-200,online_only,"Free_local_listings,Local_inventory_ads"
64368,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Лілія мала.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Квіточка. 3 см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
ВВ-1499 Рюшка,до-20,online_only,"Free_local_listings,Local_inventory_ads"
207361,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Квітка металева 8 см.,20-50,online_only,"Free_local_listings,Local_inventory_ads"
27809,200+,online_only,"Free_local_listings,Local_inventory_ads"
208122,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Х3-2Z,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Чорна ручка,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Гематит,до-20,online_only,"Free_local_listings,Local_inventory_ads"
27750,до-20,online_only,"Free_local_listings,Local_inventory_ads"
№12/145 Рожевий світлий.,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Основа під резинку,до-20,online_only,"Free_local_listings,Local_inventory_ads"
790,20-50,online_only,"Free_local_listings,Local_inventory_ads"
27405,20-50,online_only,"Free_local_listings,Local_inventory_ads"
69815. 6 см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
210330,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Хрестик,до-20,online_only,"Free_local_listings,Local_inventory_ads"
MR 1,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Ч. Б. №10,до-20,online_only,"Free_local_listings,Local_inventory_ads"
27х20 Україна,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Велюрка Велика 14 см.,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Рожево-червона.,50-100,online_only,"Free_local_listings,Local_inventory_ads"
№7 Білі,до-20,online_only,"Free_local_listings,Local_inventory_ads"
12/0 №536,20-50,online_only,"Free_local_listings,Local_inventory_ads"
26752,100-200,online_only,"Free_local_listings,Local_inventory_ads"
хс-1454,100-200,online_only,"Free_local_listings,Local_inventory_ads"
536,200+,online_only,"Free_local_listings,Local_inventory_ads"
28062,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Жовто-блакитна з бантом.,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Білі стрази. 4.5 см.,50-100,online_only,"Free_local_listings,Local_inventory_ads"
№12/150 Бузковий,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Обруч чорнй.0.5см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Y-5,до-20,online_only,"Free_local_listings,Local_inventory_ads"
210286,20-50,online_only,"Free_local_listings,Local_inventory_ads"
5035,50-100,online_only,"Free_local_listings,Local_inventory_ads"
6/0 143,до-20,online_only,"Free_local_listings,Local_inventory_ads"
№12/24,100-200,online_only,"Free_local_listings,Local_inventory_ads"
R 3098,100-200,online_only,"Free_local_listings,Local_inventory_ads"
30402 Персик,до-20,online_only,"Free_local_listings,Local_inventory_ads"
194340,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Широка 6.5 см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
В4023-1С,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Монетка,200+,online_only,"Free_local_listings,Local_inventory_ads"
АК-3,100-200,online_only,"Free_local_listings,Local_inventory_ads"
9850-75-3-1,20-50,online_only,"Free_local_listings,Local_inventory_ads"
1921 горох,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Обруч з камінцями,50-100,online_only,"Free_local_listings,Local_inventory_ads"
ВВ-4148,до-20,online_only,"Free_local_listings,Local_inventory_ads"
СА Рожева,50-100,online_only,"Free_local_listings,Local_inventory_ads"
Y-3,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Твіллі з перлами,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Вогні Мояку,до-20,online_only,"Free_local_listings,Local_inventory_ads"
212778,до-20,online_only,"Free_local_listings,Local_inventory_ads"
1/20 Жовтий,50-100,online_only,"Free_local_listings,Local_inventory_ads"
6/0 22В,100-200,online_only,"Free_local_listings,Local_inventory_ads"
65(1),20-50,online_only,"Free_local_listings,Local_inventory_ads"
"G90 ""10/26 см. Білі",до-20,online_only,"Free_local_listings,Local_inventory_ads"
А 22,50-100,online_only,"Free_local_listings,Local_inventory_ads"
Паркан-Санта.,20-50,online_only,"Free_local_listings,Local_inventory_ads"
27749,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Вушка з перлами.,50-100,online_only,"Free_local_listings,Local_inventory_ads"
Ромб кольо.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
64(6),20-50,online_only,"Free_local_listings,Local_inventory_ads"
А 13,50-100,online_only,"Free_local_listings,Local_inventory_ads"
27979,200+,online_only,"Free_local_listings,Local_inventory_ads"
180084,до-20,online_only,"Free_local_listings,Local_inventory_ads"
0221,20-50,online_only,"Free_local_listings,Local_inventory_ads"
№ 30 білі,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Синє-жовто-салатовий,50-100,online_only,"Free_local_listings,Local_inventory_ads"
188158,до-20,online_only,"Free_local_listings,Local_inventory_ads"
51-25,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Емаль зол.,50-100,online_only,"Free_local_listings,Local_inventory_ads"
ALEKSANDRA. 4.5 см.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
А 15,100-200,online_only,"Free_local_listings,Local_inventory_ads"
28140,до-20,online_only,"Free_local_listings,Local_inventory_ads"
28110,100-200,online_only,"Free_local_listings,Local_inventory_ads"
горох 17-1,20-50,online_only,"Free_local_listings,Local_inventory_ads"
ВВ-3653,20-50,online_only,"Free_local_listings,Local_inventory_ads"
24-93,50-100,online_only,"Free_local_listings,Local_inventory_ads"
SOlinQen,100-200,online_only,"Free_local_listings,Local_inventory_ads"
№8,50-100,online_only,"Free_local_listings,Local_inventory_ads"
Помаранчевий АВС,100-200,online_only,"Free_local_listings,Local_inventory_ads"
6/0 144,100-200,online_only,"Free_local_listings,Local_inventory_ads"
1/11,50-100,online_only,"Free_local_listings,Local_inventory_ads"
13927,до-20,online_only,"Free_local_listings,Local_inventory_ads"
РК-2 Р,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Зелено-жовтий.,100-200,online_only,"Free_local_listings,Local_inventory_ads"
Червоний,50-100,online_only,"Free_local_listings,Local_inventory_ads"
27767,50-100,online_only,"Free_local_listings,Local_inventory_ads"
S-13,до-20,online_only,"Free_local_listings,Local_inventory_ads"
50-5,до-20,online_only,"Free_local_listings,Local_inventory_ads"
Овальні перли,50-100,online_only,"Free_local_listings,Local_inventory_ads"
Золота кобра,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Круглі перли,50-100,online_only,"Free_local_listings,Local_inventory_ads"
0222,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Мокко,50-100,online_only,"Free_local_listings,Local_inventory_ads"
12/0 №537,20-50,online_only,"Free_local_listings,Local_inventory_ads"
КРМ 3-6,20-50,online_only,"Free_local_listings,Local_inventory_ads"
7884В-2,20-50,online_only,"Free_local_listings,Local_inventory_ads"
№175,20-50,online_only,"Free_local_listings,Local_inventory_ads"
76,100-200,online_only,"Free_local_listings,Local_inventory_ads"
№12/23В,100-200,online_only,"Free_local_listings,Local_inventory_ads"
№100 Гудзик Ч.,до-20,online_only,"Free_local_listings,Local_inventory_ads"
42450,20-50,online_only,"Free_local_listings,Local_inventory_ads"
61819 Червоні маки,50-100,online_only,"Free_local_listings,Local_inventory_ads"
ВВ-8594,20-50,online_only,"Free_local_listings,Local_inventory_ads"
1/12,50-100,online_only,"Free_local_listings,Local_inventory_ads"
В 11,50-100,online_only,"Free_local_listings,Local_inventory_ads"
117004,20-50,online_only,"Free_local_listings,Local_inventory_ads"
Заяць кольорові,до-20,online_only,"Free_local_listings,Local_inventory_ads"
К-6037,50-100,online_only,"Free_local_listings,Local_inventory_ads"
